task,occupation,paper_count,paper_ids
"Edit, standardize, or make changes to material prepared by other writers or establishment personnel.",Technical Writers,238,"2302.04761,2303.17491,2304.08103,2305.15334,2306.07209,2306.07906,2307.07697,2307.07924,2308.01423,2308.08155,2308.10144,2308.11730,2309.00986,2309.08112,2309.11436,2310.00280,2310.02170,2310.03714,2310.05029,2310.08101,2310.10467,2310.13549,2310.16427,2310.18075,2311.05657,2311.05772,2311.08803,2311.09510,2311.09818,2311.17227,2312.04889,2312.07559,2312.13876,2312.17025,2401.04259,2401.05443,2401.05507,2401.05799,2401.06201,2401.16788,2401.17464,2402.01053,2402.01750,2402.01788,2402.02643,2402.03719,2402.04253,2402.04411,2402.06634,2402.09205,2402.09727,2402.10178,2402.11451,2402.12914,2402.14207,2402.14320,2402.14871,2402.14891,2402.17531,2403.02574,2403.03031,2403.03481,2403.04382,2403.09498,2403.11905,2403.13002,2403.15729,2403.17359,2403.19305,2403.19962,2404.01342,2404.01744,2404.07738,2404.11446,2404.13050,2405.01593,2405.04219,2405.05955,2405.11804,2405.12035,2405.13021,2405.15793,2405.16247,2405.16533,2405.20347,2406.02795,2406.02818,2406.04712,2406.10478,2406.10803,2406.10958,2406.13840,2406.17987,2406.18082,2406.19643,2407.09893,2407.09897,2407.12821,2407.12861,2407.12871,2407.16741,2407.21040,2408.00203,2408.01380,2408.01869,2408.03910,2408.05346,2408.06292,2408.07060,2408.11058,2408.15512,2409.00054,2409.00557,2409.07497,2409.08406,2409.12147,2409.12411,2409.12618,2409.13449,2409.13740,2409.14913,2409.15364,2409.19338,2410.01039,2410.02603,2410.02958,2410.07561,2410.08143,2410.08475,2410.09403,2410.09631,2410.10270,2410.13181,2410.13185,2410.14262,2410.17462,2410.18963,2410.19727,2410.22584,2410.24032,2411.00028,2411.00046,2411.00784,2411.00816,2411.00927,2411.01114,2411.05423,2411.06159,2411.07656,2411.10753,2411.19539,2412.02205,2412.04141,2412.06828,2412.09796,2412.10425,2412.11713,2412.12358,2412.14161,2412.15701,2412.18428,2412.20005,2501.00224,2501.00430,2501.00888,2501.01205,2501.02348,2501.04227,2501.05255,2501.05468,2501.06189,2501.08406,2501.09993,2501.11233,2501.11613,2501.12909,2501.14731,2502.00322,2502.04485,2502.04644,2502.06205,2502.06472,2502.07165,2502.08820,2502.10937,2502.11271,2502.11404,2502.11705,2502.11799,2502.12568,2502.14767,2502.15412,2502.15920,2502.18873,2502.19400,2502.20541,2502.21087,2503.01490,2503.02628,2503.04629,2503.04827,2503.05347,2503.05592,2503.07044,2503.08275,2503.08506,2503.09639,2503.10689,2503.11346,2503.11664,2503.13524,2503.14484,2503.14620,2503.15272,2503.16024,2503.16814,2503.17684,2503.17753,2503.18102,2503.18494,2503.20201,2503.22473,2504.00255,2504.00824,2504.02670,2504.02965,2504.07421,2504.07643,2504.08066,2504.08725,2504.10127,2504.12322,2504.12330,2504.12477,2504.13079,2504.13472,2504.14597,2504.17192"
Educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energy-efficient appliances.,Energy Auditors,7,"2304.00116,2305.15064,2406.10958,2407.00476,2410.14152,2501.02031,2502.01390"
"Electronically sort and compile text and numerical data, retrieving, updating, and merging documents as required.",Word Processors and Typists,29,"2305.19308,2306.07209,2312.04889,2401.08315,2402.03719,2402.14207,2403.02574,2404.01343,2404.13050,2405.13021,2409.19006,2410.07561,2410.11239,2411.00816,2411.15004,2411.18915,2412.02205,2412.09796,2412.14161,2412.15701,2412.18428,2412.20005,2501.04227,2501.05468,2501.06189,2503.08275,2503.11664,2503.15272,2504.12322"
"Enhance, retouch, and resize photographs and negatives, using airbrushing and other techniques.",Photographers,6,"2402.10294,2405.18358,2407.18035,2410.16400,2501.11233,2504.11571"
Enter and update patrons' records on computers.,"Library Assistants, Clerical",22,"2303.17491,2305.19308,2306.03460,2312.04889,2312.06677,2402.09727,2402.14871,2403.11905,2405.13021,2407.15711,2407.20183,2408.15836,2409.07497,2410.08164,2410.13825,2411.15004,2412.05850,2412.06724,2412.14161,2412.20005,2501.00332,2501.05468"
Enter and update patrons' records on computers.,Library Technicians,8,"2310.05029,2402.09727,2407.12861,2411.00046,2411.06159,2412.14161,2501.05468,2502.20541"
"Enter claim payments, reserves and new claims on computer system, inputting concise yet sufficient file documentation.","Claims Adjusters, Examiners, and Investigators",24,"2305.19308,2306.16092,2310.00280,2310.13549,2401.06201,2402.01053,2402.04411,2402.11534,2404.01343,2405.04118,2406.15363,2406.17987,2407.12821,2408.15879,2409.19006,2410.08164,2411.00927,2412.14161,2501.15056,2502.01390,2502.04485,2502.05439,2502.14765,2502.18228"
Enter commands and observe system functioning to verify correct operations and detect errors.,Computer User Support Specialists,315,"2302.00763,2302.04761,2303.11381,2303.17491,2303.17580,2303.17760,2304.04370,2304.08103,2304.08244,2304.09842,2304.09991,2304.14721,2305.05091,2305.16653,2305.18323,2306.03460,2306.07209,2306.07906,2306.09299,2307.02485,2307.12856,2308.02151,2308.05935,2308.06212,2308.08155,2308.11601,2309.00986,2309.08172,2309.08949,2309.11436,2309.17176,2310.00280,2310.01627,2310.02118,2310.02170,2310.03714,2310.05421,2310.05915,2310.06272,2310.08101,2310.08740,2310.08885,2310.10645,2310.15127,2310.16340,2310.16427,2310.17749,2311.05437,2311.05657,2311.06622,2311.08803,2311.09818,2311.17371,2311.18751,2312.03022,2312.04854,2312.04889,2312.06677,2312.08926,2312.11671,2312.17025,2312.17180,2401.01614,2401.02777,2401.02870,2401.05443,2401.05507,2401.13649,2401.13919,2401.14016,2401.15724,2401.16158,2401.17464,2402.01030,2402.01053,2402.01469,2402.01586,2402.01750,2402.02643,2402.03610,2402.03719,2402.04253,2402.05930,2402.09205,2402.10051,2402.10178,2402.11451,2402.11453,2402.11941,2402.12234,2402.12275,2402.12914,2402.13212,2402.13547,2402.14320,2402.14658,2402.14672,2402.15057,2402.15809,2402.16823,2402.17531,2403.02713,2403.03031,2403.04123,2403.08140,2403.11905,2403.16854,2403.19305,2403.19962,2404.01343,2404.01744,2404.02183,2404.03648,2404.05569,2404.05902,2404.07103,2404.07439,2404.09339,2404.13050,2404.18130,2405.01359,2405.04118,2405.04219,2405.06691,2405.11403,2405.13009,2405.13021,2405.13034,2405.15784,2405.15793,2405.16533,2405.17402,2405.19425,2405.20309,2406.01014,2406.01422,2406.04151,2406.04712,2406.07155,2406.10803,2406.11176,2406.11317,2406.11709,2406.12125,2406.12276,2406.12639,2406.12692,2406.13408,2406.13840,2406.14550,2406.16714,2406.16903,2406.18082,2406.19226,2406.19228,2407.01476,2407.03884,2407.05674,2407.09893,2407.10718,2407.12871,2407.14402,2407.15711,2407.16741,2407.21040,2408.01380,2408.06458,2408.07060,2408.08926,2408.14307,2408.15232,2408.16991,2409.00557,2409.00608,2409.00985,2409.01392,2409.03512,2409.07429,2409.08406,2409.09013,2409.12294,2409.12411,2409.12618,2409.13449,2409.16120,2409.17213,2409.18073,2410.01215,2410.01242,2410.02089,2410.02810,2410.06153,2410.08164,2410.08328,2410.09407,2410.11507,2410.12848,2410.13181,2410.13757,2410.13825,2410.14262,2410.14594,2410.14627,2410.17236,2410.17462,2410.18963,2410.20753,2410.21784,2410.22457,2410.22916,2410.22932,2410.24032,2411.00927,2411.01114,2411.02337,2411.02599,2411.02937,2411.03397,2411.07464,2411.08432,2411.13451,2411.14484,2411.15004,2411.18915,2411.19443,2412.00652,2412.02205,2412.03801,2412.04141,2412.06724,2412.09605,2412.14161,2412.15701,2412.18093,2412.20005,2412.20145,2412.21139,2501.00332,2501.01702,2501.02342,2501.04575,2501.05255,2501.07813,2501.08406,2501.11613,2501.13896,2501.14731,2501.18816,2502.00988,2502.01390,2502.02067,2502.02533,2502.02534,2502.04180,2502.04392,2502.05664,2502.05957,2502.07373,2502.07487,2502.08820,2502.11404,2502.11882,2502.12767,2502.13298,2502.13311,2502.13681,2502.13957,2502.14499,2502.18407,2502.18873,2502.19279,2503.01490,2503.01940,2503.02519,2503.03686,2503.04787,2503.04875,2503.05592,2503.07044,2503.09572,2503.10689,2503.13514,2503.14269,2503.14484,2503.16505,2503.16814,2503.18492,2503.18666,2503.20279,2503.20666,2503.20791,2503.20978,2503.21760,2504.00255,2504.00406,2504.00587,2504.02670,2504.02965,2504.05527,2504.06271,2504.08525,2504.08725,2504.09407,2504.10036,2504.10055,2504.10127,2504.10458,2504.11536,2504.11788,2504.12477,2504.13079,2504.13472,2504.14239,2504.14597,2504.16073"
"Enter commands or load control media, such as tapes, cards, or disks, into machine controllers to retrieve programmed instructions.",Computer Numerically Controlled Tool Operators,21,"2304.14721,2310.02118,2310.08740,2312.17180,2402.14658,2404.01744,2405.01359,2405.16247,2405.16510,2408.14307,2409.19471,2410.14627,2410.16919,2410.21909,2411.01114,2412.15462,2501.18816,2502.05664,2502.07373,2502.10857,2504.05527"
"Enter computer commands to store or retrieve parts patterns, graphic displays, or programs that transfer data to other media.",Computer Numerically Controlled Tool Programmers,138,"2304.14721,2305.15334,2306.03460,2306.07929,2307.12856,2308.02151,2309.00986,2309.17176,2310.01627,2310.04406,2310.08740,2310.10645,2310.13227,2310.15127,2310.17140,2310.19998,2311.05657,2311.08803,2311.18751,2312.06677,2312.13010,2312.17025,2401.05443,2401.05507,2401.06201,2401.15724,2402.00798,2402.01030,2402.01469,2402.04253,2402.05733,2402.12275,2402.12914,2402.14672,2402.15809,2402.17574,2403.03031,2403.03101,2403.03481,2403.04746,2403.08978,2403.11886,2403.15434,2403.17246,2403.19962,2404.01744,2404.02183,2404.07103,2404.07439,2404.09248,2404.09339,2404.13050,2404.15190,2405.01359,2405.08888,2405.10292,2405.11403,2405.14205,2405.15793,2405.16533,2405.20252,2406.04712,2406.06799,2406.07155,2406.11176,2406.12125,2406.19228,2407.12871,2407.16741,2408.01380,2408.03615,2408.03910,2408.06458,2408.07060,2408.14033,2408.14307,2408.15512,2409.00608,2409.00985,2409.01392,2409.03256,2409.06205,2409.07429,2409.16120,2409.16686,2410.01242,2410.02089,2410.08164,2410.09407,2410.13757,2410.14594,2410.14627,2410.18963,2410.20007,2410.21909,2410.22457,2411.01114,2411.01747,2411.04329,2411.04535,2411.13451,2411.14484,2411.15004,2412.04141,2412.06724,2412.11713,2412.16172,2412.21139,2501.00224,2501.04575,2501.08406,2501.18816,2502.00988,2502.02067,2502.02534,2502.04306,2502.04644,2502.05664,2502.07373,2502.10857,2502.11140,2502.11271,2502.11404,2502.11705,2502.11882,2502.14848,2503.01490,2503.02519,2503.02682,2503.14269,2503.18494,2504.00587,2504.05527,2504.08725,2504.10055,2504.10127,2504.10458,2504.16073"
Enter data from analysis of medical tests or clinical results into computer for storage.,Medical and Clinical Laboratory Technologists,56,"2303.17071,2305.19308,2311.10537,2401.07128,2401.14589,2402.09742,2402.13225,2402.13448,2404.04292,2404.14777,2404.15155,2404.15488,2404.18021,2405.11640,2406.13890,2406.17755,2407.00541,2407.02483,2408.08688,2409.05556,2409.13740,2409.18924,2410.02026,2410.02551,2410.03770,2410.07076,2410.12532,2410.13610,2410.17657,2411.00046,2411.00248,2411.03395,2411.14461,2412.06724,2412.09429,2412.12475,2412.14161,2412.16172,2412.21154,2501.00224,2501.04227,2501.12051,2502.14499,2502.18531,2502.19175,2502.20301,2502.20335,2503.05347,2503.06074,2503.13205,2503.16463,2503.22678,2503.23314,2504.02891,2504.06196,2504.12734"
"Enter data into Geographic Information Systems (GIS) databases, using techniques such as coordinate geometry, keyboard entry of tabular data, manual digitizing of maps, scanning or automatic conversion to vectors, or conversion of other sources of digital data.",Geographic Information Systems Technologists and Technicians,72,"2302.00763,2303.11381,2303.17580,2304.00116,2304.04370,2306.07209,2306.08129,2307.06082,2307.07697,2310.01957,2310.02804,2310.07968,2311.06330,2311.09721,2311.09818,2312.00326,2312.06351,2402.01698,2402.02643,2402.07204,2402.10178,2402.11453,2402.14744,2403.19839,2404.13050,2404.15923,2405.10620,2406.10958,2406.11317,2407.11014,2407.12871,2407.17695,2407.21024,2407.21040,2408.03631,2408.11051,2409.09040,2409.12411,2409.13445,2409.16220,2410.17462,2410.18032,2410.18792,2410.20666,2410.21909,2411.00028,2411.01114,2411.01511,2411.10753,2412.06412,2412.06724,2412.15701,2412.17339,2501.02031,2501.08406,2502.00988,2502.05036,2502.06472,2502.17651,2502.21087,2503.00566,2503.04768,2503.07044,2504.03561,2504.05104,2504.07421,2504.07643,2504.08694,2504.10157,2504.12330,2504.12734,2504.17200"
Enter data into computer and set controls to operate or adjust equipment or regulate dosage.,Radiation Therapists,11,"2401.05507,2404.15155,2410.08164,2410.17657,2411.03395,2412.01605,2501.00224,2501.04575,2502.07373,2502.20335,2503.17553"
Enter data into computers for use in analyses or reports.,Statistical Assistants,44,"2303.17491,2303.17580,2304.04370,2305.19308,2308.11601,2311.05657,2311.17371,2312.04854,2312.07540,2312.13876,2401.17464,2402.02643,2403.15729,2406.10958,2407.12821,2408.01380,2408.15836,2408.16991,2409.07429,2410.10270,2410.11507,2410.13181,2410.17462,2410.21784,2411.00816,2412.02205,2412.10422,2412.14161,2412.15701,2412.18428,2501.00224,2501.05468,2502.04306,2502.05036,2502.07165,2502.10937,2502.11705,2502.17651,2502.21087,2503.00566,2503.11664,2503.13524,2504.02891,2504.12734"
Enter data into computers to record characteristics of nuclear events or to locate coordinates of particles.,Nuclear Monitoring Technicians,6,"2304.09842,2405.01359,2405.08888,2410.14141,2411.01114,2501.06193"
"Enter data, such as coordinates of images and color specifications, into system to retouch and make color corrections.",Desktop Publishers,11,"2303.11381,2305.19308,2402.10294,2403.15434,2407.18035,2412.14161,2501.06189,2502.12568,2502.15412,2502.17651,2504.11571"
"Enter digitized data into electronic prepress system computer memory, using scanner, camera, keyboard, or mouse.",Desktop Publishers,3,"2305.19308,2412.14161,2502.15412"
"Enter information into computer to copy program or to draw, modify, or store schematics, applying knowledge of software package used.","Electrical and Electronics Repairers, Commercial and Industrial Equipment",43,"2303.08268,2304.08103,2304.14721,2305.19308,2307.07924,2309.11436,2310.02118,2310.08740,2312.06677,2312.17025,2401.05443,2402.11453,2403.15434,2404.13050,2405.08888,2405.15793,2405.18358,2406.12276,2406.16903,2407.16741,2408.08054,2408.14307,2409.00135,2409.00985,2409.09584,2409.12411,2410.08164,2410.21909,2411.01114,2411.14485,2411.16707,2412.12898,2501.00224,2501.01205,2501.04575,2501.05255,2502.04306,2502.05664,2502.07373,2502.07487,2502.10857,2504.05527,2504.06260"
"Enter information into computerized court calendar, filing, or case management systems.",Judicial Law Clerks,13,"2301.05327,2306.16092,2402.14871,2403.02959,2404.13050,2405.04325,2407.16252,2408.08089,2409.19006,2410.02507,2412.11063,2502.06882,2503.22473"
"Enter information into computers to copy programs from one electronic component to another or to draw, modify, or store schematics.","Computer, Automated Teller, and Office Machine Repairers",67,"2303.17491,2304.14721,2307.07924,2308.06391,2309.00986,2310.02118,2310.08535,2310.08740,2310.15127,2311.09510,2311.18751,2312.13010,2312.17025,2312.17180,2401.16158,2402.01030,2402.01469,2402.02643,2402.05930,2402.14658,2402.17531,2403.04123,2405.04219,2405.13034,2405.15793,2405.16247,2405.16533,2405.20347,2406.04712,2406.06799,2406.11317,2406.16903,2406.18082,2407.16741,2408.01380,2408.07060,2409.11411,2410.01215,2410.01242,2410.03439,2410.08164,2410.14627,2410.17462,2410.18963,2410.22916,2411.01114,2411.01747,2411.04329,2411.14485,2411.19539,2412.12898,2501.04575,2501.11233,2502.02533,2502.05036,2502.07373,2502.11140,2502.11404,2502.17651,2503.10689,2503.22473,2504.00255,2504.05527,2504.08525,2504.10127,2504.10458,2504.16073"
Enter into record-keeping systems appropriate data needed to create new title records or to update existing ones.,"Title Examiners, Abstractors, and Searchers",16,"2305.19308,2306.16092,2308.05361,2311.09721,2402.02643,2402.14871,2406.10803,2407.15711,2409.19006,2410.19727,2412.02205,2412.11063,2412.14161,2412.20005,2502.05439,2502.16810"
Enter logistics-related data into databases.,Logistics Analysts,66,"2306.07209,2308.02151,2308.06391,2308.08155,2309.11436,2310.08740,2311.05772,2311.08803,2311.09721,2312.06351,2401.05507,2402.00798,2402.02643,2402.10178,2402.11489,2402.11534,2402.12914,2402.14744,2403.03101,2404.13050,2405.14314,2405.16376,2405.20347,2406.10958,2406.12639,2406.18082,2407.07061,2407.10718,2407.11384,2407.12821,2408.03631,2408.06520,2408.16991,2410.00031,2410.14152,2410.14627,2410.17462,2410.18792,2410.20753,2411.01114,2411.01511,2411.08432,2411.14484,2412.02205,2412.05449,2412.05850,2412.06724,2412.14161,2412.15274,2412.17061,2412.17867,2501.06193,2501.08406,2501.11613,2502.01390,2502.14848,2502.15359,2502.21087,2503.04768,2503.09572,2503.11664,2503.21735,2503.22473,2504.02051,2504.10036,2504.12682"
"Enter or retrieve information from structural databases, protein sequence motif databases, mutation databases, genomic databases or gene expression databases.",Bioinformatics Technicians,137,"2302.04761,2303.11381,2303.17491,2304.00116,2304.04370,2304.05332,2304.08103,2304.09842,2306.07209,2306.07929,2306.10765,2307.07697,2308.01423,2309.01352,2309.17452,2310.02374,2310.14403,2310.19998,2311.05437,2311.07850,2311.10537,2312.00326,2312.03022,2312.04854,2312.07559,2312.08926,2401.12178,2401.16107,2401.17244,2401.17464,2402.04268,2402.11163,2402.11451,2402.11453,2402.13448,2402.13547,2402.14320,2402.17574,2403.04382,2403.06221,2403.15464,2403.15729,2403.17359,2404.04735,2404.07103,2404.07677,2404.07738,2404.14741,2404.14777,2404.18021,2405.00972,2405.11640,2405.12035,2405.16205,2406.07080,2406.13163,2406.13890,2406.17755,2406.17987,2406.18532,2407.00541,2407.11417,2407.12871,2407.15073,2407.15711,2408.01869,2408.05346,2408.06292,2408.13378,2408.15512,2408.15836,2409.00054,2409.00135,2409.05556,2409.13740,2409.18924,2410.01428,2410.02551,2410.07076,2410.08475,2410.09403,2410.12532,2410.13185,2410.17462,2410.21312,2411.00046,2411.06159,2411.11910,2411.14461,2411.18915,2411.19443,2412.01752,2412.09429,2412.10422,2412.12358,2412.16172,2412.18428,2412.20005,2412.20145,2412.21154,2501.00224,2501.00430,2501.18922,2502.00988,2502.06472,2502.09858,2502.10996,2502.12767,2502.12836,2502.12929,2502.13025,2502.13959,2502.18531,2502.18873,2502.19279,2502.20335,2502.21087,2503.07044,2503.09501,2503.11346,2503.18102,2503.22708,2503.23314,2504.02891,2504.03160,2504.06196,2504.06271,2504.07421,2504.07643,2504.08066,2504.10036,2504.12322,2504.12330,2504.12734,2504.14594,2504.16728,2504.16918"
"Enter text into computer keyboard and select the size and style of type, column width, and appropriate spacing for printed materials.",Desktop Publishers,22,"2303.17491,2306.03460,2310.16427,2402.03719,2402.14207,2402.14871,2403.02574,2403.03481,2403.15434,2404.01342,2406.10478,2411.05423,2412.09796,2412.10419,2412.14161,2501.11233,2502.12568,2502.15412,2503.08275,2503.11346,2503.17684,2504.08066"
"Enter, position, and alter text size, using computers, to make up and arrange pages so that printed materials can be produced.",Prepress Technicians and Workers,18,"2305.19308,2306.03460,2402.10294,2402.14871,2402.14891,2403.15434,2405.11804,2406.10478,2410.07561,2410.21067,2410.21784,2412.15701,2412.20005,2501.06189,2502.15412,2503.04629,2503.05242,2504.11571"
"Enter, store, and retrieve information on computer-aided equipment.",Prepress Technicians and Workers,8,"2303.17491,2303.17580,2305.19308,2402.14871,2403.15434,2410.08164,2411.19443,2412.14161"
"Enter, update, and retrieve information from teletype networks and computerized data systems regarding such things as wanted persons, stolen property, vehicle registration, and stolen vehicles.",Public Safety Telecommunicators,16,"2312.04889,2402.01750,2402.03719,2402.04253,2404.13050,2405.19487,2406.12639,2407.15711,2409.00557,2409.13445,2411.01511,2412.16176,2412.16844,2501.06193,2502.01390,2503.04768"
"Establish and maintain inventory, records, or documentation systems.",Electro-Mechanical and Mechatronics Technologists and Technicians,39,"2307.02485,2308.12923,2309.16292,2310.00092,2311.17842,2312.04889,2401.05443,2401.05507,2402.12914,2403.03031,2403.14589,2404.17525,2405.01359,2405.16247,2406.13163,2407.02483,2407.11384,2408.14307,2409.06205,2409.13753,2409.19471,2410.07677,2410.14627,2410.19811,2410.22457,2411.01114,2411.02599,2411.07464,2411.19539,2412.06162,2412.06724,2501.00830,2502.11271,2503.08162,2503.22122,2504.05527,2504.11243,2504.12477,2504.16073"
"Establish and prepare product construction directions and locations and information on required tools, materials, equipment, numbers of workers needed, and cost projections.","Production, Planning, and Expediting Clerks",99,"2305.19308,2306.01729,2308.02151,2308.06391,2308.12923,2309.11436,2310.02118,2310.02170,2310.10645,2310.13227,2310.20151,2311.00416,2311.05772,2311.09510,2312.04889,2402.00798,2402.01053,2402.01737,2402.01750,2402.05733,2402.08392,2402.10178,2402.11489,2402.11534,2402.12914,2402.14871,2403.03101,2403.12482,2403.17246,2404.00246,2404.13050,2405.04118,2405.06691,2405.16247,2405.16510,2405.18208,2405.19425,2405.20347,2406.10958,2406.11176,2406.12125,2406.12639,2406.13381,2406.16903,2406.18082,2407.10718,2407.11384,2407.14414,2407.15711,2408.01380,2408.03631,2408.06458,2408.08054,2408.12036,2409.07429,2409.16686,2410.00031,2410.07677,2410.08164,2410.08328,2410.09252,2410.09407,2410.14627,2410.21784,2410.21909,2410.22457,2411.00927,2411.01114,2411.08432,2411.14484,2411.15004,2411.18915,2412.04141,2412.05449,2412.06162,2412.11063,2412.14161,2412.15701,2501.00830,2501.01702,2501.07813,2501.08406,2501.11613,2501.18816,2502.01390,2502.02066,2502.04376,2502.04485,2502.07373,2502.11799,2502.15359,2503.02682,2503.07044,2503.09572,2503.22473,2504.02051,2504.05527,2504.08066,2504.16918"
Establish appropriate server directory trees.,Web Developers,129,"2303.17491,2304.08103,2305.08291,2305.15334,2306.01729,2306.03460,2306.07906,2307.12856,2308.08155,2309.00986,2309.08172,2309.08949,2309.11436,2310.02170,2310.08101,2310.08740,2310.09233,2310.10645,2311.18751,2312.08926,2401.01614,2401.05268,2401.06201,2401.07324,2401.13649,2401.13919,2401.15724,2402.01135,2402.04253,2402.05930,2402.10178,2402.11359,2402.11941,2402.12234,2402.14672,2402.14851,2402.15057,2402.17531,2403.03031,2403.03101,2403.03481,2403.04746,2403.08978,2403.11886,2403.11905,2404.01342,2404.01744,2404.05902,2404.09339,2404.10887,2404.13050,2405.00516,2405.04219,2405.12035,2405.13021,2405.16533,2405.19425,2405.20347,2406.00033,2406.04151,2406.08979,2406.11176,2406.11317,2406.13381,2406.18082,2407.01476,2407.05674,2407.12821,2407.15711,2407.16741,2408.00203,2408.01380,2408.14033,2408.16991,2409.01392,2409.03512,2409.07429,2410.02958,2410.06153,2410.08164,2410.13232,2410.13825,2410.14594,2410.16232,2410.17236,2410.21784,2410.22552,2410.24032,2411.00427,2411.01747,2411.02337,2411.03397,2411.13451,2411.15004,2412.03801,2412.04141,2412.09605,2412.10742,2412.14161,2412.17867,2501.00332,2501.04575,2501.05255,2501.07572,2501.11613,2501.16607,2502.04392,2502.05957,2502.07373,2502.11140,2502.12561,2502.13298,2502.15964,2503.00162,2503.01940,2503.05592,2503.10689,2503.18494,2504.08725,2504.09407,2504.09723,2504.10127,2504.10458,2504.11788,2504.12477,2504.12682,2504.14239,2504.14597,2504.16073"
Establish work procedures or schedules and keep track of the daily work of clerical staff.,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",12,"2305.19308,2311.00416,2311.04928,2401.13919,2402.01737,2402.14871,2404.01343,2410.11239,2410.21784,2412.14161,2502.01390,2502.04376"
Establish work schedules and assign work to staff members.,Media Programming Directors,20,"2308.08155,2311.00416,2311.04928,2402.01053,2402.05733,2402.10178,2403.17246,2405.16510,2407.01093,2407.14414,2408.06520,2411.14484,2501.04575,2501.06189,2501.12909,2502.01390,2502.02066,2502.04376,2503.02682,2503.14484"
"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Medical and Health Services Managers,65,"2303.17071,2305.16653,2305.19308,2306.03460,2306.10765,2310.02170,2310.02374,2311.00416,2311.04928,2311.05772,2311.10537,2312.07559,2401.07128,2402.01053,2402.05733,2402.11451,2402.12914,2402.13225,2402.13448,2403.12482,2403.15464,2404.04292,2404.15155,2405.19425,2406.00922,2406.13890,2406.15363,2406.17755,2407.00541,2407.02483,2407.12821,2407.21051,2408.00727,2408.07531,2409.15084,2409.18924,2410.02026,2410.02551,2410.04112,2410.11239,2410.12532,2410.12868,2410.17657,2410.21784,2411.00248,2411.03395,2411.13902,2411.15004,2412.01605,2412.05449,2412.12475,2412.14161,2412.15701,2502.01390,2502.02066,2502.04376,2502.18531,2502.20335,2502.20689,2503.05347,2503.06074,2503.09572,2503.13205,2503.16463,2503.22678"
"Estimate building replacement costs, using building valuation manuals and professional cost estimators.",Appraisers and Assessors of Real Estate,2,"2411.01511,2502.16810"
"Estimate cost factors including labor and material for purchased and fabricated parts and costs for assembly, testing, or installing.",Mechanical Engineering Technologists and Technicians,21,"2304.14721,2310.02118,2311.08166,2311.08803,2402.00798,2403.13002,2404.13050,2404.17525,2405.08888,2408.14307,2410.07677,2410.24032,2411.01114,2412.12898,2501.00224,2501.01205,2501.18816,2502.18873,2504.05527,2504.06260,2504.16918"
Estimate costs for system or component implementation and operation.,Telecommunications Engineering Specialists,16,"2304.09842,2310.20151,2403.14403,2404.13050,2405.13021,2405.17441,2406.10958,2408.01380,2408.03631,2410.03439,2411.01114,2411.16707,2411.18915,2412.16176,2501.00224,2502.07373"
"Estimate costs or submit bids for engineering, construction, or extraction projects.",Mechanical Engineers,20,"2304.14721,2305.13068,2308.12923,2310.19998,2311.08166,2402.11451,2403.13002,2404.17525,2405.14205,2406.13163,2409.00135,2410.09034,2410.16919,2411.01114,2501.00224,2501.01205,2502.07373,2504.05527,2504.06260,2504.09602"
"Estimate costs, production times, or staffing requirements for new designs.",Manufacturing Engineers,23,"2304.04370,2304.14721,2305.16653,2311.08166,2402.05188,2403.13002,2404.17525,2406.13163,2407.00476,2408.14307,2409.00135,2410.07677,2411.01114,2411.19539,2412.16172,2501.00224,2501.01205,2502.00988,2503.22122,2504.05527,2504.06260,2504.09602,2504.16918"
"Estimate or measure light levels, distances, and numbers of exposures needed, using measuring devices and formulas.",Photographers,2,"2412.16172,2503.05242"
"Estimate production costs, cost saving methods, and the effects of product design changes on expenditures for management review, action, and control.",Industrial Engineers,73,"2305.16653,2305.17390,2308.06391,2308.12923,2310.02170,2310.19998,2311.06330,2311.08166,2311.08803,2312.13876,2401.06603,2402.10178,2402.11451,2402.11489,2402.11534,2402.12914,2402.14672,2402.17879,2403.13002,2403.19839,2404.05569,2404.17525,2405.14205,2405.16510,2406.04712,2406.08979,2406.10958,2406.11776,2407.00476,2407.11384,2407.17695,2408.01380,2408.03631,2408.12036,2408.14307,2409.00135,2409.18345,2409.19471,2410.07677,2410.14152,2410.14627,2410.15625,2410.17462,2410.21909,2410.22457,2411.01114,2411.01511,2411.08432,2411.11910,2411.18915,2412.02205,2412.15462,2501.00224,2501.01205,2501.08406,2502.01390,2502.04306,2502.04392,2502.04485,2502.07373,2502.09858,2502.14499,2502.14848,2502.15359,2503.02682,2503.07044,2503.09572,2504.02051,2504.05527,2504.06260,2504.07421,2504.10036,2504.16918"
"Estimate quantities and cost of materials, equipment, or labor to determine project feasibility.",Civil Engineers,42,"2307.07697,2308.08155,2308.12923,2310.02170,2310.10686,2311.06330,2311.08166,2312.04889,2401.05507,2402.10178,2402.11451,2402.12914,2403.04382,2403.13002,2404.17525,2405.14205,2405.16510,2406.16903,2406.17987,2407.01476,2407.10718,2408.03631,2408.06520,2408.08054,2409.14913,2409.18345,2410.08475,2410.14152,2411.01114,2411.01511,2411.01643,2411.14484,2412.02205,2501.00224,2501.01205,2501.08406,2501.18816,2503.07044,2504.06260,2504.07421,2504.16918,2504.17200"
