Task,Occupation (O*NET-SOC Title),automation_desire,automation_capacity
"Set up and execute video transitions and special effects, such as fades, dissolves, cuts, keys, and supers, using computers to manipulate pictures as necessary.",Media Technical Directors/Managers,2.0,3.0
Propose online or multiple-sales-channel campaigns to marketing executives.,Search Marketing Strategists,3.2,3.0
Prepare reports or recommendations on transportation planning.,Transportation Planners,3.142857142857143,3.0
"Provide technical support to other employees regarding mechanical design, fabrication, testing, or documentation.",Mechanical Engineering Technologists and Technicians,3.3333333333333335,3.0
Provide technical or administrative support for sustainability programs or issues.,Sustainability Specialists,3.0,3.0
Provide feedback to design engineers on customer problems or needs.,Mechanical Engineers,2.5,3.0
Provide feedback and recommendations to developers on software usability and functionality.,Software Quality Assurance Analysts and Testers,3.0,3.0
Write or supervise the writing of game text and dialogue.,Video Game Designers,2.0,3.0
"Apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",Financial Quantitative Analysts,3.3,3.0
Process and record new insurance policies and claims.,Insurance Claims and Policy Processing Clerks,1.9,3.0
Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Computer Programmers,3.0,3.0
"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.",Graphic Designers,1.7777777777777777,3.0
"Coordinate structural, electrical, and mechanical designs and determine a method of presentation to graphically represent building plans.",Architectural and Civil Drafters,2.4,3.0
Present drafts and ideas to clients.,Writers and Authors,2.375,3.0
"Answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.","Court, Municipal, and License Clerks",2.1666666666666665,3.0
"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",Treasurers and Controllers,2.0,3.0
"Converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required.",Travel Agents,2.3,3.0
Write reports or prepare presentations to communicate fundraising program data.,Fundraisers,3.5,3.0
Refer unresolved customer grievances to designated departments for further investigation.,Customer Service Representatives,2.7,3.0
"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",Aerospace Engineers,3.142857142857143,3.0
"Remotely monitor the flow of vehicles or inventory, using Web-based logistics information systems to track vehicles or containers.",Logistics Analysts,3.0,3.0
Prepare tables and graphs to present clinical data or results.,Biostatisticians,4.0,3.0
Research a story's background information to provide complete and accurate information.,"News Analysts, Reporters, and Journalists",2.0,3.0
"Prepare sample layouts for approval, using computer software.",Desktop Publishers,2.857142857142857,3.0
Schedule use of studio and editing facilities for producers and engineering and maintenance staff.,Media Technical Directors/Managers,2.75,3.0
"Write text, such as stories, articles, editorials, or newsletters.",Editors,1.6,3.0
Revise work to meet editorial approval or to fit time or space requirements.,"News Analysts, Reporters, and Journalists",2.4285714285714284,3.0
"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",Computer Programmers,2.5,3.0
"Develop procedures for coordination of supply chain management with other functional areas, such as sales, marketing, finance, production, or quality assurance.",Supply Chain Managers,2.3333333333333335,3.0
Monitor work productivity or quality to ensure compliance with standard operating procedures.,Clinical Data Managers,3.4,3.0
"Track conditions that could affect power needs, such as changes in the weather, and adjust equipment to meet any anticipated changes.",Power Distributors and Dispatchers,3.0,3.0
"Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.",Software Quality Assurance Analysts and Testers,3.0,3.0
"Keep up-to-date records of circulation and materials, maintain inventory, and correct cataloging errors.",Librarians and Media Collections Specialists,2.7142857142857144,3.0
"Lay out and plan interior room arrangements for commercial buildings, using computer-assisted drafting (CAD) equipment and software.",Architectural and Civil Drafters,2.75,3.0
Locate and obtain existing geographic information databases.,Geographers,2.5,3.0
Locate unusual or unique information in response to specific requests.,Librarians and Media Collections Specialists,1.8,3.0
"Maintain access to, and security of, highly sensitive materials.",Public Safety Telecommunicators,2.5,3.0
Verify accuracy of materials lists.,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.6,3.0
Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,Clinical Research Coordinators,2.9,3.0
"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",Computer Systems Analysts,2.3,3.0
"Maintain medical records, technical library, or correspondence files.",Medical Secretaries and Administrative Assistants,2.125,3.0
Maintain records and files of work and revisions.,Technical Writers,2.75,3.0
"Code, classify, and catalog books, publications, films, audio-visual aids, and other library materials, based on subject matter or standard library classification systems.",Librarians and Media Collections Specialists,1.6666666666666667,3.0
Maintain records of drilling and production operations.,Petroleum Engineers,4.333333333333333,3.0
"Develop or specify standards, methods, or procedures to determine product quality or release readiness.",Software Quality Assurance Analysts and Testers,3.1666666666666665,3.0
Analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,Personal Financial Advisors,2.9,3.0
Develop or maintain online help documentation.,Technical Writers,2.2857142857142856,3.0
Monitor and analyze energy consumption.,"Energy Engineers, Except Wind and Solar",3.6666666666666665,3.0
Check building codes and zoning bylaws to determine any effects on the properties being appraised.,Appraisers and Assessors of Real Estate,3.5,3.0
Supply quality control data necessary for regulatory submissions.,Quality Control Analysts,2.75,3.0
Monitor current reports of computer viruses to determine when to update virus protection systems.,Information Security Analysts,3.375,3.0
Submit articles and information from searches to attorneys for review and approval for use.,Legal Secretaries and Administrative Assistants,3.5,3.0
"Develop graphics and layouts for product illustrations, company logos, and Web sites.",Graphic Designers,1.8888888888888888,3.0
Monitor system operation to detect potential problems.,Computer Systems Engineers/Architects,4.0,3.0
Monitor training costs and prepare budget reports to justify expenditures.,Training and Development Specialists,3.3333333333333335,3.0
"Develop, implement, or evaluate health information technology applications, tools, processes, or structures to assist nurses with data management.",Health Informatics Specialists,2.5,3.0
"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",Business Intelligence Analysts,3.142857142857143,3.0
Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,Clinical Research Coordinators,2.9,3.0
"Translate nursing practice information between nurses and systems engineers, analysts, or designers, using object-oriented models or other techniques.",Health Informatics Specialists,3.25,3.0
"Draft plans and detailed drawings for structures, installations, and construction projects, such as highways, sewage disposal systems, and dikes, working from sketches or notes.",Architectural and Civil Drafters,3.4444444444444446,3.0
"Enter text into computer keyboard and select the size and style of type, column width, and appropriate spacing for printed materials.",Desktop Publishers,3.5714285714285716,3.0
"Estimate quantities and cost of materials, equipment, or labor to determine project feasibility.",Civil Engineers,3.25,3.0
"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",Computer Systems Engineers/Architects,2.6,3.0
"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",Health Informatics Specialists,2.8333333333333335,3.0
"Evaluate modes of training delivery, such as in-person or virtual, to optimize training effectiveness, training costs, or environmental impacts.",Training and Development Specialists,2.6666666666666665,3.0
Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,Treasurers and Controllers,2.0,3.0
"Examine news items of local, national, and international significance to determine topics to address, or obtain assignments from editorial staff members.","News Analysts, Reporters, and Journalists",2.0,3.0
Examine passenger documentation to determine destinations and to assign boarding passes.,Reservation and Transportation Ticket Agents and Travel Clerks,3.2857142857142856,3.0
"Transmit correspondence or medical records by mail, e-mail, or fax.",Medical Secretaries and Administrative Assistants,3.4285714285714284,3.0
Transmit claims for payment or further investigation.,Insurance Claims and Policy Processing Clerks,2.8,3.0
Document and maintain records of precision agriculture information.,Precision Agriculture Technicians,2.857142857142857,3.0
"Devise missions, challenges, or puzzles to be encountered in game play.",Video Game Designers,2.5714285714285716,3.0
"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",Clinical Data Managers,4.0,3.0
"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",Business Intelligence Analysts,3.2,3.0
"Identify system data, hardware, or software components required to meet user needs.",Computer Systems Engineers/Architects,2.5,3.0
Identify the ownership of each piece of taxable property.,Appraisers and Assessors of Real Estate,3.0,3.0
"Identify, analyze, and document problems with program function, output, online screen, or content.",Software Quality Assurance Analysts and Testers,3.0,3.0
"Inform clients of essential travel information, such as travel times, transportation connections, or medical and visa requirements.",Reservation and Transportation Ticket Agents and Travel Clerks,3.125,3.0
"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",Quality Control Systems Managers,2.8,3.0
"Inform job applicants of details such as duties and responsibilities, compensation, benefits, schedules, working conditions, or promotion opportunities.",Human Resources Specialists,2.0,3.0
"Install, maintain, or use software testing programs.",Software Quality Assurance Analysts and Testers,3.5,3.0
"Transcribe data to worksheets, and enter data into computer for use in preparing documents and adjusting accounts.",Insurance Claims and Policy Processing Clerks,2.6666666666666665,3.0
"Interpret engineering sketches, specifications, or drawings.",Mechanical Engineering Technologists and Technicians,1.75,3.0
Monitor use of data files and regulate access to safeguard information in computer files.,Information Security Analysts,3.7,3.0
Review or transmit images and information using picture archiving or communications systems.,Radiologists,3.888888888888889,3.0
Order or purchase merchandise to maintain optimal inventory levels.,Online Merchants,2.2,3.0
Post and update content on the company's Web site and social media outlets.,Public Relations Specialists,3.125,3.0
Calculate clients' available monthly income to meet debt obligations.,Credit Counselors,2.8,3.0
"Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.",Technical Writers,3.625,3.0
"Plan and design transportation or hydraulic systems or structures, using computer-assisted design or drawing tools.",Civil Engineers,3.0,3.0
Oversee the flow of cash or financial instruments.,Financial Managers,2.8,3.0
"Perform searches for qualified job candidates, using sources such as computer databases, networking, Internet recruiting resources, media advertisements, job fairs, recruiting firms, or employee referrals.",Human Resources Specialists,2.9,3.0
"Position text and art elements from a variety of databases in a visually appealing way to design print or web pages, using knowledge of type styles and size and layout patterns.",Desktop Publishers,2.7142857142857144,3.0
"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Medical and Health Services Managers,2.8,3.0
"Operate electronic mail systems and coordinate the flow of information, internally or with other organizations.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.2857142857142856,3.0
Calculate amount of claim.,Insurance Claims and Policy Processing Clerks,2.9,3.0
"Perform payroll functions, such as maintaining timekeeping information and processing and submitting payroll.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.3333333333333335,3.0
"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",Radiologists,2.6666666666666665,3.0
Store completed documents in appropriate locations.,Data Entry Keyers,4.333333333333333,3.0
Post or attach information to claim file.,Insurance Claims and Policy Processing Clerks,2.5,3.0
"Design, plan, organize, or direct orientation and training programs for employees or customers.",Training and Development Specialists,3.375,3.0
Develop alternative training methods if expected improvements are not seen.,Training and Development Specialists,2.6666666666666665,3.0
"Determine appropriate equipment and staffing levels to load, unload, move, or store materials.",Supply Chain Managers,3.6666666666666665,3.0
Analyze clinical data using appropriate statistical tools.,Clinical Data Managers,3.6666666666666665,3.0
"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Computer and Information Systems Managers,3.6,3.0
"Solicit, obtain, and integrate feedback from design and technical staff into original game design.",Video Game Designers,3.75,3.0
Design energy-efficient or environmentally sound civil structures.,Civil Engineers,3.6666666666666665,3.0
"Plan routes, itineraries, and accommodation details, and compute fares and fees, using schedules, rate books, and computers.",Reservation and Transportation Ticket Agents and Travel Clerks,2.1666666666666665,3.0
Hire employees and process hiring-related paperwork.,Human Resources Specialists,2.9,2.75
"Compute final estimation of property values, taking into account such factors as depreciation, replacement costs, value comparisons of similar properties, and income potential.",Appraisers and Assessors of Real Estate,2.75,2.75
"Calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers.","Production, Planning, and Expediting Clerks",3.0,2.75
Distribute production schedules or work orders to departments.,"Production, Planning, and Expediting Clerks",3.142857142857143,2.75
"Review documents, such as production schedules, work orders, or staffing tables, to determine personnel or materials requirements or material priorities.","Production, Planning, and Expediting Clerks",2.7,2.75
"Plan production commitments or timetables for business units, specific programs, or jobs, using sales forecasts.","Production, Planning, and Expediting Clerks",3.2857142857142856,2.6666666666666665
Cut and edit film or tape to integrate component parts into desired sequences.,Producers and Directors,1.75,2.6666666666666665
Use informatics science to design or implement health information technology applications for resolution of clinical or health care administrative problems.,Health Informatics Specialists,2.6666666666666665,2.6666666666666665
"Review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards.",Regulatory Affairs Managers,3.142857142857143,2.6666666666666665
"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",Health Informatics Specialists,2.6666666666666665,2.6666666666666665
"Research and evaluate suppliers, based on price, quality, selection, service, support, availability, reliability, production and distribution capabilities, and the supplier's reputation and history.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.5714285714285716,2.6666666666666665
"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",Computer Systems Analysts,2.4,2.6666666666666665
Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,Human Resources Managers,2.4,2.6666666666666665
Conduct regular design reviews throughout the game development process.,Video Game Designers,3.4,2.6666666666666665
"Develop, operate, and maintain geographical information computer systems, including hardware, software, plotters, digitizers, printers, and video cameras.",Geographers,3.2,2.6666666666666665
"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",Logistics Analysts,2.6,2.6666666666666665
Respond to requests for information from the media or designate an appropriate spokesperson or information source.,Public Relations Specialists,2.6,2.6666666666666665
"Review and approve art materials, copy materials, and proofs of printed copy developed by staff members.",Art Directors,3.1666666666666665,2.6666666666666665
"Record test procedures and results, numerical and graphical data, and recommendations for changes in product or test methods.",Mechanical Engineering Technologists and Technicians,3.0,2.6666666666666665
Identify and recommend energy savings strategies to achieve more energy-efficient operation.,"Energy Engineers, Except Wind and Solar",3.3333333333333335,2.6666666666666665
Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,Clinical Research Coordinators,2.4,2.6666666666666665
"Direct the preparation and submission of regulatory agency applications, reports, or correspondence.",Regulatory Affairs Managers,3.0,2.6666666666666665
"Gather, analyze, or document user feedback to locate or resolve sources of problems.",Web Administrators,2.6,2.6666666666666665
"Monitor, evaluate, or record training activities or program effectiveness.",Training and Development Specialists,3.6,2.6666666666666665
"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",Network and Computer Systems Administrators,3.3333333333333335,2.6666666666666665
"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.7142857142857144,2.6666666666666665
"Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans.",Credit Analysts,2.5714285714285716,2.6666666666666665
"Edit, standardize, or make changes to material prepared by other writers or establishment personnel.",Technical Writers,2.0,2.6666666666666665
Obtain county land values and sales information about nearby properties to aid in establishment of property values.,Appraisers and Assessors of Real Estate,3.75,2.6666666666666665
"Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.",Aerospace Engineers,3.0,2.6666666666666665
"Complete various forms, such as accident reports, trial and courtroom requests, and applications for clients.",Legal Secretaries and Administrative Assistants,2.4,2.6666666666666665
Calculate required capacities for equipment of proposed system to obtain specified performance and submit data to engineering personnel for approval.,Mechanical Engineering Technologists and Technicians,1.6666666666666667,2.6666666666666665
Prepare and process requisitions and purchase orders for supplies and equipment.,Purchasing Managers,2.3,2.6666666666666665
Monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes.,Regulatory Affairs Managers,4.0,2.6666666666666665
"Analyze computer and information technologies to determine applicability to nursing practice, education, administration, and research.",Health Informatics Specialists,2.0,2.6666666666666665
"Provide services to customers, such as order placement or account information.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.6,2.6666666666666665
Locate and attach appropriate files to incoming correspondence requiring replies.,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.5,2.6666666666666665
"Develop or test models of alternate designs or processing methods to assess feasibility, sustainability, operating condition effects, potential new applications, or necessity of modification.",Mechanical Engineers,3.5,2.6666666666666665
Maintain regularly scheduled office hours to advise and assist students.,"Business Teachers, Postsecondary",3.6,2.6666666666666665
"Conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media Web sites.",Search Marketing Strategists,3.2,2.6666666666666665
"Prepare written reports that estimate property values, outline methods by which the estimations were made, and meet appraisal standards.",Appraisers and Assessors of Real Estate,3.625,2.6666666666666665
Balance and adjust gameplay experiences to ensure the critical and commercial success of the product.,Video Game Designers,3.1666666666666665,2.6666666666666665
"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",Editors,1.75,2.6666666666666665
"Define and analyze objectives, scope, issues, or organizational impact of information systems.",Computer Systems Engineers/Architects,2.0,2.6666666666666665
"Prepare illustrations or rough sketches of material, discussing them with clients or supervisors and making necessary changes.",Graphic Designers,1.7142857142857142,2.6666666666666665
"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",Purchasing Managers,2.0,2.6666666666666665
"Select photographs, drawings, sketches, diagrams, and charts to illustrate material.",Technical Writers,2.5,2.6666666666666665
"Determine response requirements and relative priorities of situations, and dispatch units in accordance with established procedures.",Public Safety Telecommunicators,3.8333333333333335,2.6666666666666665
Examine income records and operating costs of income properties.,Appraisers and Assessors of Real Estate,2.5,2.6666666666666665
Design computers and the software that runs them.,Computer and Information Research Scientists,3.6666666666666665,2.6666666666666665
"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",Human Resources Managers,4.0,2.5
Assign work to staff to obtain maximum utilization of personnel.,Petroleum Engineers,4.0,2.5
"Document the performance, interpretation, or outcomes of all procedures performed.",Radiologists,4.0,2.5
Troubleshoot network or connectivity problems for users or user groups.,Computer Network Support Specialists,2.4285714285714284,2.5
Review and approve all systems charts and programs prior to their implementation.,Computer and Information Systems Managers,2.7,2.5
"Explain services or policies to clients, such as debt management program rules, advantages and disadvantages of using services, or creditor concession policies.",Credit Counselors,3.0,2.5
Prepare comprehensive interpretive reports of findings.,Radiologists,3.0,2.5
"Draw and print charts, graphs, illustrations, and other artwork, using computer.",Graphic Designers,2.888888888888889,2.5
"Disseminate information regarding tools, reports, or metadata enhancements.",Business Intelligence Analysts,3.75,2.5
Compile and analyze accounting records and other data to determine the financial resources required to implement a program.,Budget Analysts,2.8333333333333335,2.5
Stay abreast of advances in technology.,Computer and Information Systems Managers,3.3,2.5
"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.","Architects, Except Landscape and Naval",2.75,2.5
"Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.",Network and Computer Systems Administrators,3.5,2.5
"Create debt management plans, spending plans, or budgets to assist clients to meet financial goals.",Credit Counselors,2.25,2.5
"View monitors for visual representation of work in progress and for instructions and feedback throughout process, making modifications as necessary.",Desktop Publishers,2.75,2.5
"Program farm equipment, such as variable-rate planting equipment or pesticide sprayers, based on input from crop scouting and analysis of field condition variability.",Precision Agriculture Technicians,3.0,2.5
"Verify that all files, complaints, or other papers are available and in the proper order.",Judicial Law Clerks,3.0,2.5
Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,Mathematicians,2.888888888888889,2.5
"Prioritize client debt repayment to avoid dire consequences, such as bankruptcy or foreclosure or to reduce overall costs, such as by paying high-interest or short-term loans first.",Credit Counselors,2.6666666666666665,2.5
"Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.",Biofuels Production Managers,4.0,2.5
Manage timely flow of business intelligence information to users.,Business Intelligence Analysts,3.4,2.5
Advise students on academic and vocational curricula and career issues.,"Business Teachers, Postsecondary",3.4,2.5
Prepare written documents to establish contracts with or communicate financial recommendations to clients.,Credit Counselors,3.2,2.5
Participate in continuing education activities to maintain and develop expertise.,Radiologists,2.0,2.5
Study and research scripts to determine how they should be directed.,Producers and Directors,2.5714285714285716,2.5
"Identify, collect, record, or analyze data relevant to the nursing care of patients.",Health Informatics Specialists,3.1666666666666665,2.5
"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Advertising and Promotions Managers,3.5,2.5
Maintain accurate laboratory records and data.,Molecular and Cellular Biologists,2.857142857142857,2.5
"Prepare reports, exhibits, and other supporting schedules that detail an institution's safety and soundness, compliance with laws and regulations, and recommended solutions to questionable financial conditions.",Financial Examiners,3.0,2.5
"Conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems.",Mechanical Engineers,3.3333333333333335,2.5
"Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.","Architects, Except Landscape and Naval",2.6,2.5
Plan layouts of structural architectural projects.,"Architects, Except Landscape and Naval",3.5,2.5
"Prepare or interpret for clients information, such as investment performance reports, financial document summaries, or income projections.",Personal Financial Advisors,3.3,2.5
"Track the flow of work forms, including in-house data flow or electronic forms transfer.",Clinical Data Managers,3.6666666666666665,2.5
Investigate or report questionable test results.,Quality Control Analysts,2.5,2.5
Design and conduct hardware or software tests.,Computer Systems Engineers/Architects,3.6,2.5
"Approve, prepare, monitor, and adjust operational budgets.",Computer and Information Research Scientists,4.166666666666667,2.5
Collect information about waste stream management or green building practices to inform decision makers.,Sustainability Specialists,2.6,2.5
"Draw rough and detailed scale plans for foundations, buildings, and structures, based on preliminary concepts, sketches, engineering calculations, specification sheets, and other data.",Architectural and Civil Drafters,3.6666666666666665,2.5
Contact suppliers to verify shipment details.,"Production, Planning, and Expediting Clerks",3.3333333333333335,2.5
Develop technical specifications for data management programming and communicate needs to information technology staff.,Clinical Data Managers,3.5,2.5
Write and submit proposals to bid on contracts for projects.,Producers and Directors,2.3333333333333335,2.3333333333333335
Write or install energy management routines for building automation systems.,"Energy Engineers, Except Wind and Solar",3.0,2.3333333333333335
"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",Clinical Research Coordinators,2.4,2.3333333333333335
"Use computers for various applications, such as database management or word processing.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.1818181818181817,2.3333333333333335
"Submit project deliverables, ensuring adherence to quality standards.",Information Technology Project Managers,2.7,2.3333333333333335
"Organize and maintain law libraries, documents, and case files.",Legal Secretaries and Administrative Assistants,2.4,2.3333333333333335
Review illustrative material to determine if it conforms to standards and specifications.,Art Directors,2.4,2.3333333333333335
"Provide advice on project costs, design concepts, or design changes.",Computer Systems Engineers/Architects,3.5714285714285716,2.3333333333333335
"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",Editors,2.5,2.3333333333333335
"Assign topics, events and stories to individual writers or reporters for coverage.",Editors,1.8,2.3333333333333335
"Assign, coordinate, and review work and activities of programming personnel.",Computer Programmers,2.3333333333333335,2.3333333333333335
"Assist drafters in developing the structural design of products, using drafting tools or computer-assisted drafting equipment or software.",Mechanical Engineers,3.6,2.3333333333333335
"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",Database Administrators,2.3333333333333335,2.3333333333333335
"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Information Technology Project Managers,2.8,2.3333333333333335
"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",Information Security Analysts,2.6666666666666665,2.3333333333333335
"Develop story or content ideas, considering reader or audience appeal.",Editors,2.0,2.3333333333333335
"Perform management activities, such as budgeting, scheduling, planning, and marketing.",Producers and Directors,3.375,2.3333333333333335
"Develop training materials and procedures, or train users in the proper use of hardware or software.",Computer User Support Specialists,3.0,2.3333333333333335
"Operate office equipment, such as voice mail messaging systems, and use word processing, spreadsheet, or other software applications to prepare reports, invoices, financial statements, letters, case histories, or medical records.",Medical Secretaries and Administrative Assistants,3.111111111111111,2.3333333333333335
Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.,Molecular and Cellular Biologists,3.3333333333333335,2.3333333333333335
Monitor or track project milestones and deliverables.,Information Technology Project Managers,3.3,2.3333333333333335
Monitor broadcasts to ensure that programs conform to station or network policies and regulations.,Media Technical Directors/Managers,2.8,2.3333333333333335
"Examine the minutes of meetings of directors, stockholders, and committees to investigate the specific authority extended at various levels of management.",Financial Examiners,2.8333333333333335,2.3333333333333335
"Investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",Online Merchants,4.0,2.3333333333333335
"Interpret data from traffic modeling software, geographic information systems, or associated databases.",Transportation Planners,3.857142857142857,2.3333333333333335
Create and implement inspection and testing criteria or procedures.,Quality Control Systems Managers,3.0,2.3333333333333335
"Develop or implement fundraising activities, such as annual giving campaigns or direct mail programs.",Fundraisers,3.1666666666666665,2.3333333333333335
Correspond with insured or agent to obtain information or to inform them of account status or changes.,Insurance Claims and Policy Processing Clerks,2.4,2.3333333333333335
Review and approve proofs submitted by composing room prior to publication production.,Editors,2.375,2.3333333333333335
"Compile scripts, program notes, and other material related to productions.",Producers and Directors,3.4,2.3333333333333335
Analyze problems to develop solutions involving computer hardware and software.,Computer and Information Research Scientists,3.7777777777777777,2.3333333333333335
"Review film, recordings, or rehearsals to ensure conformance to production and broadcast standards.",Producers and Directors,3.0,2.3333333333333335
"Compile, administer, and grade examinations, or assign this work to others.","Business Teachers, Postsecondary",3.7777777777777777,2.3333333333333335
Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,Clinical Research Coordinators,3.2222222222222223,2.3333333333333335
"Recommend financial products, such as stocks, bonds, mutual funds, or insurance.",Personal Financial Advisors,2.5,2.3333333333333335
"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",Editors,1.8888888888888888,2.3333333333333335
Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Medical and Health Services Managers,2.9,2.3333333333333335
Review film daily to check on work in progress and to plan for future filming.,Producers and Directors,2.2,2.3333333333333335
"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",Clinical Research Coordinators,2.1,2.25
"Direct technical aspects of newscasts and other productions, checking and switching between video sources and taking responsibility for the on-air product, including camera shots and graphics.",Media Technical Directors/Managers,2.25,2.0
Evaluate new technologies to enhance or complement current research.,Molecular and Cellular Biologists,3.0,2.0
Evaluate data processing proposals to assess project feasibility and requirements.,Computer and Information Systems Managers,3.6,2.0
Expand or modify system to serve new purposes or improve work flow.,Computer Systems Analysts,2.5454545454545454,2.0
"Formulate basic layout design or presentation approach and specify material details, such as style and size of type, photographs, graphics, animation, video, and sound.",Art Directors,2.5,2.0
"Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements.",Aerospace Engineers,3.0,2.0
"Communicate with or monitor service providers, such as ocean carriers, air freight forwarders, global consolidators, customs brokers, or trucking companies.",Logistics Analysts,2.3333333333333335,2.0
Gather information related to projects' environmental sustainability or operational efficiency.,"Architects, Except Landscape and Naval",3.5,2.0
Establish work procedures or schedules and keep track of the daily work of clerical staff.,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.6666666666666667,2.0
"Establish and prepare product construction directions and locations and information on required tools, materials, equipment, numbers of workers needed, and cost projections.","Production, Planning, and Expediting Clerks",2.3333333333333335,2.0
Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.,Web Developers,3.2,2.0
"Compose, type, and distribute meeting notes, routine correspondence, or reports, such as presentations or expense, statistical, or monthly reports.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.3,2.0
